Incidence by year - summary
"AT   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,1332,16.3,10.7,13.8,17.4,1.5,
2005,1212,14.7,9.7,12.5,15.8,1.4,
2006,1211,14.7,9.1,12.0,15.7,1.4,
2007,1161,14.0,8.9,11.6,14.8,1.3,
2008,1331,16.0,9.7,12.9,17.0,1.5,
2009,1312,15.7,9.7,12.7,16.4,1.4,
2010,1495,17.9,11.2,14.5,18.4,1.6,
2011,1526,18.2,10.9,14.3,18.7,1.6,
2012,1505,17.9,10.4,13.8,18.1,1.6,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
