Incidence by year - summary
"BE   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,1482,14.3,9.8,12.4,15.0,1.3,
2005,1563,15.0,10.1,12.8,15.7,1.4,
2006,1556,14.8,9.9,12.7,15.5,1.3,
2007,1671,15.8,10.5,13.6,16.5,1.4,
2008,1858,17.4,11.6,14.8,18.2,1.5,
2009,1861,17.3,11.3,14.6,18.0,1.6,
2010,2026,18.7,12.7,16.0,19.3,1.6,
2011,2131,19.5,12.8,16.4,20.2,1.7,
2012,2412,21.9,14.3,18.4,22.6,1.9,
2013,2503,22.6,14.5,18.9,23.4,2.0,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
