Incidence by year - summary
"HR   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,438,9.9,6.5,8.5,10.8,0.9,
2005,600,13.6,8.5,11.4,14.6,1.3,
2006,489,11.1,6.7,9.0,11.7,1.1,
2007,526,11.9,7.3,9.8,12.5,1.1,
2008,562,12.7,7.8,10.4,13.4,1.2,
2009,626,14.2,8.6,11.5,14.9,1.3,
2010,563,12.8,7.7,10.2,13.3,1.2,
2011,585,13.7,7.8,10.5,13.8,1.3,
2012,566,13.3,7.7,10.3,13.3,1.2,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
