Incidence by year - summary
"CY  Cyprus, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,28,3.8,2.9,3.8,4.9,0.5,
2005,33,4.4,3.3,4.4,5.8,0.5,
2006,30,4.0,2.6,3.8,5.3,0.5,
2007,57,7.3,5.3,7.0,9.0,0.9,
2008,69,8.7,6.1,8.3,10.8,1.0,
2009,52,6.3,4.7,6.0,7.5,0.7,
2010,59,7.0,5.0,6.7,8.7,0.8,
2011,59,6.8,4.9,6.5,8.3,0.8,
2012,56,6.5,4.5,5.9,7.8,0.8,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
