Incidence by year - summary
"BG   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,409,5.3,3.2,4.3,5.5,0.5,
2005,314,4.1,2.4,3.3,4.3,0.4,
2006,355,4.6,2.6,3.6,4.8,0.5,
2007,419,5.5,3.2,4.3,5.6,0.5,
2008,426,5.6,3.2,4.3,5.8,0.5,
2009,449,5.9,3.5,4.7,6.1,0.5,
2010,484,6.4,3.7,5.0,6.5,0.6,
2011,487,6.6,3.6,4.9,6.6,0.6,
2012,497,6.8,3.7,5.0,6.7,0.6,
2013,448,6.2,3.5,4.6,6.0,0.5,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
