Incidence by year - summary
"EE   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,144,10.6,6.3,8.8,12.2,1.1,
2005,123,9.1,5.6,7.4,9.8,0.9,
2006,164,12.2,7.5,10.2,13.2,1.2,
2007,140,10.4,6.5,8.7,11.2,1.0,
2008,157,11.7,6.8,9.5,12.7,1.1,
2009,196,14.7,9.2,12.0,15.2,1.4,
2010,170,12.8,8.2,10.5,13.2,1.2,
2011,231,17.4,10.6,14.0,18.1,1.5,
2012,203,15.3,8.9,12.0,15.9,1.4,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
