Incidence by year - summary
"FR  Bas-Rhin, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,150,14.1,9.5,12.6,16.7,1.5,
2005,189,17.6,12.1,15.8,20.6,1.8,
2006,213,19.7,12.8,16.9,22.7,2.0,
2007,212,19.5,12.5,16.9,22.3,2.0,
2008,246,22.5,14.8,19.5,24.8,2.3,
2009,224,20.4,14.0,17.9,22.6,2.1,
2010,262,23.9,16.8,21.6,25.8,2.2,
2011,267,24.2,17.0,21.5,26.4,2.3,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
