Incidence by year - summary
"FR  Calvados, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,66,9.9,6.9,8.9,11.1,1.0,
2005,83,12.4,7.3,10.2,13.6,1.3,
2006,87,12.9,7.6,10.5,14.6,1.3,
2007,102,15.1,9.8,13.0,16.6,1.5,
2008,87,12.8,8.0,10.7,13.6,1.2,
2009,130,19.1,11.7,15.5,20.1,1.7,
2010,99,14.5,8.8,11.6,15.1,1.2,
2011,114,16.6,9.8,13.3,17.3,1.4,
2012,127,18.4,11.2,14.8,19.1,1.6,
2013,98,14.2,8.0,11.0,14.5,1.3,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
