Years,Number,country
2008,2210,Germany
2009,2279,Germany
2010,2250,Germany
2011,2336,Germany
2012,2179,Germany
Source: ECIS - European Cancer Information System,,Germany
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024,Germany
(C) European union," 2024""",Germany
2004,327,Germany
2005,381,Germany
2006,294,Germany
2007,321,Germany
2008,354,Germany
2009,384,Germany
2010,398,Germany
2011,339,Germany
2012,279,Germany
Source: ECIS - European Cancer Information System,,Germany
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024,Germany
(C) European union," 2024""",Germany
2004,1544,Germany
2005,1623,Germany
2006,1696,Germany
2007,1808,Germany
2008,2108,Germany
2009,2161,Germany
2010,2048,Germany
2011,2146,Germany
2012,2139,Germany
Source: ECIS - European Cancer Information System,,Germany
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024,Germany
(C) European union," 2024""",Germany
2004,770,Germany
2005,926,Germany
2006,928,Germany
2007,940,Germany
2008,1149,Germany
2009,1186,Germany
2010,1130,Germany
2011,1179,Germany
2012,1220,Germany
Source: ECIS - European Cancer Information System,,Germany
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024,Germany
(C) European union," 2024""",Germany
2004,712,Germany
2005,599,Germany
2006,567,Germany
2007,571,Germany
2008,639,Germany
2009,659,Germany
2010,641,Germany
2011,699,Germany
2012,744,Germany
Source: ECIS - European Cancer Information System,,Germany
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024,Germany
(C) European union," 2024""",Germany
2008,1642,Germany
2009,1630,Germany
2010,1590,Germany
2011,1626,Germany
2012,1753,Germany
Source: ECIS - European Cancer Information System,,Germany
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024,Germany
(C) European union," 2024""",Germany
2004,164,Germany
2005,146,Germany
2006,176,Germany
2007,163,Germany
2008,249,Germany
2009,214,Germany
2010,182,Germany
2011,215,Germany
2012,203,Germany
Source: ECIS - European Cancer Information System,,Germany
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024,Germany
(C) European union," 2024""",Germany
2004,2358,Germany
2005,2403,Germany
2006,2418,Germany
2007,2532,Germany
2008,2965,Germany
2009,3054,Germany
2010,3294,Germany
2011,3292,Germany
2012,3302,Germany
Source: ECIS - European Cancer Information System,,Germany
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024,Germany
(C) European union," 2024""",Germany
2008,4419,Germany
2009,5029,Germany
2010,4825,Germany
2011,5247,Germany
2012,5459,Germany
Source: ECIS - European Cancer Information System,,Germany
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024,Germany
(C) European union," 2024""",Germany
2004,98,Germany
2005,129,Germany
2006,103,Germany
2007,131,Germany
2008,208,Germany
2009,126,Germany
2010,168,Germany
2011,126,Germany
2012,101,Germany
Source: ECIS - European Cancer Information System,,Germany
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024,Germany
(C) European union," 2024""",Germany
