Incidence by year - summary
"IS   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,53,18.2,15.1,18.3,21.6,1.9,
2005,57,19.4,15.5,19.2,23.0,2.0,
2006,38,12.7,9.6,12.3,16.1,1.4,
2007,52,16.9,12.7,16.8,21.6,1.8,
2008,46,14.6,11.7,15.0,18.2,1.5,
2009,57,17.9,13.5,16.7,20.7,1.8,
2010,38,12.0,9.6,11.9,14.8,1.3,
2011,53,16.6,13.1,16.2,19.4,1.8,
2012,36,11.3,7.9,10.5,13.9,1.4,
2013,32,9.9,8.0,9.9,11.1,0.8,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
