Incidence by year - summary
"IE   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,555,13.7,10.5,13.9,18.2,1.6,
2005,580,14.0,10.8,14.3,19.0,1.7,
2006,615,14.5,10.6,14.6,20.2,1.9,
2007,674,15.4,11.6,15.8,21.5,1.9,
2008,730,16.3,12.0,16.5,23.2,2.1,
2009,742,16.4,11.8,16.2,22.9,2.1,
2010,865,19.0,14.0,19.0,25.9,2.3,
2011,862,18.8,13.6,18.5,25.4,2.2,
2012,844,18.4,12.9,17.6,24.7,2.3,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
