Incidence by year - summary
"IT  Parma, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,78,19.5,12.3,15.4,17.8,1.6,
2005,76,18.8,12.2,15.1,17.4,1.5,
2006,87,21.4,14.5,17.1,19.6,1.7,
2007,93,22.7,14.1,17.7,20.9,1.7,
2008,86,20.8,12.7,15.7,18.9,1.7,
2009,98,23.3,13.1,16.9,20.8,1.9,
2010,88,20.8,13.2,16.6,19.3,1.6,
2011,111,26.0,15.3,19.5,23.6,2.0,
2012,130,30.4,18.0,22.9,27.9,2.4,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
