Incidence by year - summary
"LV   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,161,7.1,4.4,6.0,7.8,0.7,
2005,163,7.3,4.5,6.0,7.9,0.7,
2006,185,8.3,4.8,6.6,9.2,0.8,
2007,154,7.0,4.2,5.6,7.5,0.7,
2008,178,8.2,4.6,6.3,8.7,0.8,
2009,156,7.3,4.2,5.7,7.6,0.7,
2010,208,9.9,5.3,7.4,10.2,1.0,
2011,183,8.9,4.9,6.8,9.1,0.8,
2012,200,9.8,5.7,7.5,9.9,0.9,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
