Incidence by year - summary
"MT   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,34,8.5,6.8,8.2,9.2,0.8,
2005,42,10.4,8.3,9.9,11.1,1.0,
2006,35,8.6,6.4,8.1,10.2,0.7,
2007,28,6.9,4.6,6.0,7.7,0.8,
2008,52,12.8,9.0,11.2,14.3,1.1,
2009,37,9.0,6.0,7.9,9.4,0.8,
2010,49,11.8,8.5,10.5,12.6,1.2,
2011,55,13.3,8.8,11.2,13.9,1.3,
2012,53,12.7,7.4,9.9,13.0,1.3,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
