Incidence by year - summary
"NL   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,3146,19.3,13.6,17.5,21.2,1.8,
2005,3465,21.2,14.9,19.1,23.0,2.0,
2006,3467,21.2,14.7,18.9,23.1,2.0,
2007,3679,22.5,15.3,19.8,24.2,2.1,
2008,4034,24.5,16.5,21.3,26.3,2.3,
2009,4261,25.8,17.2,22.2,27.5,2.4,
2010,4570,27.5,17.9,23.4,29.3,2.5,
2011,4984,29.9,19.2,25.2,31.6,2.7,
2012,5142,30.7,19.2,25.4,32.3,2.8,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
