Incidence by year - summary
"PL   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,2003,5.3,3.7,5.0,6.4,0.6,
2005,2308,6.0,4.2,5.6,7.3,0.7,
2006,2189,5.7,3.9,5.3,6.9,0.6,
2007,2294,6.0,4.1,5.5,7.0,0.6,
2008,2405,6.3,4.2,5.6,7.4,0.7,
2009,2625,6.9,4.5,6.1,8.0,0.7,
2010,2546,6.6,4.2,5.7,7.6,0.7,
2011,2673,6.9,4.4,5.9,7.9,0.7,
2012,3061,7.9,4.9,6.7,9.0,0.8,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
