Incidence by year - summary
"SK   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,627,11.7,8.5,11.6,15.2,1.4,
2005,521,9.7,6.8,9.4,12.7,1.2,
2006,613,11.4,8.1,11.0,14.7,1.3,
2007,643,12.0,8.4,11.4,14.9,1.3,
2008,636,11.8,8.0,11.0,15.0,1.4,
2009,744,13.8,9.3,12.8,17.6,1.6,
2010,704,13.1,8.6,11.8,16.2,1.5,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
