Incidence by year - summary
"SI   National, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,358,17.9,11.9,15.6,19.6,1.7,
2005,322,16.1,10.1,13.7,18.3,1.6,
2006,403,20.1,12.6,16.7,21.7,2.0,
2007,451,22.4,14.6,18.9,23.3,2.0,
2008,459,22.8,14.6,19.1,23.9,2.0,
2009,459,22.6,14.1,18.5,23.4,2.1,
2010,477,23.3,13.9,18.6,24.4,2.2,
2011,491,23.9,14.5,19.2,24.6,2.2,
2012,515,25.1,15.2,19.8,25.7,2.3,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
