Incidence by year - summary
"ES  Granada, Both sexes, Melanoma of the skin, All ages"
"Years","Number","Crude rate","ASR (W)","ASR (E Old)","ASR (E New)","Cumulative Risk",
2004,92,10.8,8.2,10.1,11.9,1.1,
2005,108,12.5,9.1,11.3,14.0,1.1,
2006,82,9.3,6.7,8.2,9.7,0.9,
2007,128,14.3,10.9,12.9,15.1,1.3,
2008,85,9.4,6.6,8.4,10.1,0.9,
2009,96,10.5,6.9,9.0,11.4,0.9,
2010,114,12.4,8.4,11.1,13.3,1.2,
2011,117,12.7,8.4,10.9,13.6,1.2,
2012,112,12.2,7.9,10.3,12.6,1.2,
Source: ECIS - European Cancer Information System
From https://ecis.jrc.ec.europa.eu/, accessed on 5/9/2024
(C) European union, 2024"
