,country,2004,2005,2006,2007,2008,2009,2010,2011
0,Austria,1332.0,1212.0,1211.0,1161.0,1331.0,1312.0,1495.0,1526.0
1,Belgium,1482.0,1563.0,1556.0,1671.0,1858.0,1861.0,2026.0,2131.0
2,Bulgaria,409.0,314.0,355.0,419.0,426.0,449.0,484.0,487.0
3,Croatia,438.0,600.0,489.0,526.0,562.0,626.0,563.0,585.0
4,Cyprus,28.0,33.0,30.0,57.0,69.0,52.0,59.0,59.0
5,Czechia,409.0,314.0,355.0,419.0,426.0,449.0,484.0,487.0
6,Denmark,409.0,314.0,355.0,419.0,426.0,449.0,484.0,487.0
7,Estonia,144.0,123.0,164.0,140.0,157.0,196.0,170.0,231.0
8,France,598.6078431372549,619.3529411764706,625.8039215686274,637.8867924528302,746.241935483871,780.6774193548387,805.3870967741935,902.5892857142856
9,Germany,853.2857142857143,886.7142857142857,883.1428571428571,923.7142857142856,1594.3,1672.2,1652.6,1720.5
10,Iceland,53.0,57.0,38.0,52.0,46.0,57.0,38.0,53.0
11,Ireland,555.0,580.0,615.0,674.0,730.0,742.0,865.0,862.0
12,Italy,78.0,76.0,87.0,93.0,86.0,98.0,88.0,111.0
13,Latvia,161.0,163.0,185.0,154.0,178.0,156.0,208.0,183.0
14,Lithuania,245.0,223.0,237.0,253.0,273.0,255.0,321.0,334.0
15,Malta,34.0,42.0,35.0,28.0,52.0,37.0,49.0,55.0
16,Netherlands,3146.0,3465.0,3467.0,3679.0,4034.0,4261.0,4570.0,4984.0
17,Poland,2003.0,2308.0,2189.0,2294.0,2405.0,2625.0,2546.0,2673.0
18,Portugal,,,,,167.0,147.0,132.0,
19,Romania,,,,,54.0,75.0,73.0,
20,Slovakia,627.0,521.0,613.0,643.0,636.0,744.0,704.0,
21,Slovenia,358.0,322.0,403.0,451.0,459.0,459.0,477.0,491.0
22,Spain,92.0,108.0,82.0,128.0,85.0,96.0,114.0,117.0
